idx,accuracy,speed,rank,crowding_distance,architecture
36,0.9390000000000001,2.7523068332428635,0,0.4339327882382252,"{""normal_cell"": {""blocks"": [[0, 3, 1, 3], [2, 5, 2, 3], [3, 1, 3, 3], [2, 1, 2, 4], [3, 5, 1, 2]], ""extra_connections"": [0, 2, 4, 5, 6]}, ""reduction_cell"": {""blocks"": [[0, 1, 0, 1], [1, 5, 0, 5], [1, 0, 3, 3], [2, 4, 3, 3], [0, 1, 3, 3]], ""extra_connections"": [1, 2, 4, 5, 6]}}"
37,0.876,4.780322388001253,0,0.43381913727469895,"{""normal_cell"": {""blocks"": [[1, 1, 0, 0], [1, 3, 1, 3], [3, 3, 0, 5], [0, 0, 3, 5], [2, 0, 1, 1]], ""extra_connections"": [1, 3, 5, 6]}, ""reduction_cell"": {""blocks"": [[0, 0, 0, 4], [2, 0, 2, 0], [0, 0, 0, 1], [3, 3, 3, 1], [3, 0, 1, 3]], ""extra_connections"": [1, 2, 3, 4, 5, 6]}}"
38,0.9219999999999999,3.248430808141173,0,0.4006170035658976,"{""normal_cell"": {""blocks"": [[0, 3, 0, 4], [0, 3, 2, 2], [3, 1, 0, 1], [2, 0, 0, 3], [2, 4, 1, 3]], ""extra_connections"": [0, 5]}, ""reduction_cell"": {""blocks"": [[0, 2, 1, 5], [1, 0, 2, 5], [2, 0, 3, 3], [1, 3, 2, 5], [3, 1, 1, 3]], ""extra_connections"": [1, 2, 3, 4, 5, 6]}}"
39,0.954,2.1970518973362294,0,0.38821464586074084,"{""normal_cell"": {""blocks"": [[0, 0, 0, 1], [2, 1, 2, 3], [0, 3, 3, 4], [3, 4, 2, 4], [0, 5, 5, 0]], ""extra_connections"": [0, 1, 3, 4, 6]}, ""reduction_cell"": {""blocks"": [[0, 5, 1, 4], [0, 4, 0, 5], [2, 5, 1, 1], [2, 1, 4, 4], [0, 4, 2, 3]], ""extra_connections"": [2, 3]}}"
40,0.9279999999999999,2.8597646566970925,0,0.3051391502235598,"{""normal_cell"": {""blocks"": [[0, 3, 0, 4], [0, 3, 2, 2], [2, 1, 0, 1], [2, 0, 4, 0], [2, 4, 5, 3]], ""extra_connections"": [0, 5]}, ""reduction_cell"": {""blocks"": [[0, 2, 1, 5], [1, 0, 2, 5], [2, 0, 3, 3], [0, 3, 2, 5], [3, 5, 1, 3]], ""extra_connections"": [1, 2, 3, 4, 5, 6]}}"
41,0.97,2.111253497448443,0,0.28534439011806323,"{""normal_cell"": {""blocks"": [[1, 5, 1, 3], [0, 3, 2, 5], [1, 0, 2, 3], [2, 4, 2, 0], [2, 5, 2, 4]], ""extra_connections"": [0, 1, 2, 3, 4, 5, 6]}, ""reduction_cell"": {""blocks"": [[1, 2, 0, 5], [0, 4, 1, 1], [3, 1, 2, 5], [3, 3, 3, 3], [5, 5, 1, 2]], ""extra_connections"": [0, 2, 4, 6]}}"
42,0.962,2.1532983736226745,0,0.15725048814771728,"{""normal_cell"": {""blocks"": [[1, 1, 1, 3], [0, 4, 2, 5], [1, 4, 2, 3], [1, 4, 2, 0], [2, 5, 0, 4]], ""extra_connections"": [0, 2, 3, 4, 5, 6]}, ""reduction_cell"": {""blocks"": [[1, 4, 0, 5], [0, 0, 1, 1], [3, 2, 2, 5], [3, 1, 2, 3], [5, 5, 1, 3]], ""extra_connections"": [2, 4, 6]}}"
43,0.952,2.144148381174512,1,inf,"{""normal_cell"": {""blocks"": [[0, 1, 1, 5], [1, 3, 1, 5], [0, 3, 2, 5], [4, 1, 0, 3], [2, 4, 2, 5]], ""extra_connections"": [0, 1, 2, 3, 5, 6]}, ""reduction_cell"": {""blocks"": [[0, 1, 1, 4], [1, 4, 1, 5], [2, 0, 3, 2], [0, 4, 0, 4], [5, 3, 2, 1]], ""extra_connections"": [0, 3]}}"
44,0.835,4.8414779095466685,1,inf,"{""normal_cell"": {""blocks"": [[1, 1, 0, 0], [2, 3, 1, 3], [0, 0, 0, 1], [0, 0, 3, 5], [2, 0, 5, 1]], ""extra_connections"": [1, 5]}, ""reduction_cell"": {""blocks"": [[0, 5, 1, 4], [0, 0, 0, 3], [0, 2, 1, 1], [3, 1, 3, 1], [5, 0, 1, 3]], ""extra_connections"": [0, 2, 3, 4, 5, 6]}}"
45,0.861,4.054737743110671,1,0.6321614056131231,"{""normal_cell"": {""blocks"": [[0, 0, 1, 3], [0, 3, 2, 4], [3, 2, 0, 3], [2, 1, 3, 1], [2, 2, 2, 2]], ""extra_connections"": [0, 5, 6]}, ""reduction_cell"": {""blocks"": [[0, 5, 1, 5], [2, 3, 1, 0], [0, 2, 1, 3], [1, 2, 4, 2], [3, 4, 4, 2]], ""extra_connections"": [0, 1, 2, 3, 4, 5, 6]}}"
