idx,accuracy,speed,rank,crowding_distance,architecture
10,66.9,42.93456921921983,1,1.3152491586325317,"{""benchmark_genotype"": [2, 3, 2, 3, 4, 0], ""arch_id"": 11087, ""architecture_details"": ""|nor_conv_1x1~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|nor_conv_3x3~0|avg_pool_3x3~1|none~2|""}"
11,68.8,35.82379778469216,1,0.3886066986417612,"{""benchmark_genotype"": [4, 2, 1, 2, 0, 3], ""arch_id"": 12135, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_1x1~0|none~1|nor_conv_3x3~2|""}"
12,63.74,28.90082155642918,7,inf,"{""benchmark_genotype"": [4, 3, 2, 2, 4, 1], ""arch_id"": 14617, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|nor_conv_1x1~0|avg_pool_3x3~1|skip_connect~2|""}"
13,63.2,40.084867681856025,2,0.6410797329946966,"{""benchmark_genotype"": [2, 1, 0, 4, 3, 4], ""arch_id"": 8935, ""architecture_details"": ""|nor_conv_1x1~0|+|skip_connect~0|none~1|+|avg_pool_3x3~0|nor_conv_3x3~1|avg_pool_3x3~2|""}"
14,67.94,42.45990617209934,1,0.48003818455899405,"{""benchmark_genotype"": [3, 1, 1, 1, 1, 2], ""arch_id"": 1424, ""architecture_details"": ""|nor_conv_3x3~0|+|skip_connect~0|skip_connect~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|""}"
15,65.48,33.690947580979014,3,0.6568236587561159,"{""benchmark_genotype"": [3, 0, 4, 4, 2, 1], ""arch_id"": 9674, ""architecture_details"": ""|nor_conv_3x3~0|+|none~0|avg_pool_3x3~1|+|avg_pool_3x3~0|nor_conv_1x1~1|skip_connect~2|""}"
16,63.873333,30.795319142285692,6,inf,"{""benchmark_genotype"": [1, 2, 2, 2, 4, 1], ""arch_id"": 6912, ""architecture_details"": ""|skip_connect~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|nor_conv_1x1~0|avg_pool_3x3~1|skip_connect~2|""}"
17,68.78,26.78389262230312,3,inf,"{""benchmark_genotype"": [2, 2, 3, 2, 4, 1], ""arch_id"": 520, ""architecture_details"": ""|nor_conv_1x1~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|nor_conv_1x1~0|avg_pool_3x3~1|skip_connect~2|""}"
18,67.21333,59.65274822895464,0,1.2039955323050757,"{""benchmark_genotype"": [1, 2, 0, 3, 3, 0], ""arch_id"": 488, ""architecture_details"": ""|skip_connect~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|""}"
19,62.133335,49.16774979122143,1,inf,"{""benchmark_genotype"": [3, 3, 4, 4, 4, 0], ""arch_id"": 1535, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|""}"
20,64.08667,31.831120372835365,5,inf,"{""benchmark_genotype"": [3, 4, 2, 4, 4, 2], ""arch_id"": 3582, ""architecture_details"": ""|nor_conv_3x3~0|+|avg_pool_3x3~0|nor_conv_1x1~1|+|avg_pool_3x3~0|avg_pool_3x3~1|nor_conv_1x1~2|""}"
21,69.36,58.83645612727267,0,0.9638555157287647,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 0], ""arch_id"": 3811, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|none~2|""}"
22,66.98,37.68663599853851,2,0.4513190110813749,"{""benchmark_genotype"": [3, 3, 1, 0, 0, 1], ""arch_id"": 8279, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|skip_connect~1|+|none~0|none~1|skip_connect~2|""}"
23,69.06,35.10350787072424,1,inf,"{""benchmark_genotype"": [3, 0, 4, 2, 0, 3], ""arch_id"": 9863, ""architecture_details"": ""|nor_conv_3x3~0|+|none~0|avg_pool_3x3~1|+|nor_conv_1x1~0|none~1|nor_conv_3x3~2|""}"
24,56.006668,32.59585217781037,5,inf,"{""benchmark_genotype"": [4, 3, 1, 1, 3, 4], ""arch_id"": 434, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|skip_connect~1|+|skip_connect~0|nor_conv_3x3~1|avg_pool_3x3~2|""}"
25,60.0,29.076106709311624,7,inf,"{""benchmark_genotype"": [4, 2, 2, 4, 2, 4], ""arch_id"": 9195, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|avg_pool_3x3~0|nor_conv_1x1~1|avg_pool_3x3~2|""}"
26,62.22,31.605652481312365,6,inf,"{""benchmark_genotype"": [0, 4, 3, 2, 1, 4], ""arch_id"": 3257, ""architecture_details"": ""|none~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_1x1~0|skip_connect~1|avg_pool_3x3~2|""}"
27,66.54,32.70144869052771,4,inf,"{""benchmark_genotype"": [2, 4, 2, 0, 4, 3], ""arch_id"": 11731, ""architecture_details"": ""|nor_conv_1x1~0|+|avg_pool_3x3~0|nor_conv_1x1~1|+|none~0|avg_pool_3x3~1|nor_conv_3x3~2|""}"
28,66.72,33.13358201191086,3,0.4444759025627849,"{""benchmark_genotype"": [0, 2, 3, 1, 4, 2], ""arch_id"": 10647, ""architecture_details"": ""|none~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|skip_connect~0|avg_pool_3x3~1|nor_conv_1x1~2|""}"
29,61.62,35.16442710291186,3,1.1192229330413488,"{""benchmark_genotype"": [4, 3, 4, 0, 4, 2], ""arch_id"": 11490, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|none~0|avg_pool_3x3~1|nor_conv_1x1~2|""}"
30,54.72,46.39942761666092,2,inf,"{""benchmark_genotype"": [4, 0, 4, 0, 1, 3], ""arch_id"": 8928, ""architecture_details"": ""|avg_pool_3x3~0|+|none~0|avg_pool_3x3~1|+|none~0|skip_connect~1|nor_conv_3x3~2|""}"
31,67.54,34.010609269455514,2,0.665436695736483,"{""benchmark_genotype"": [3, 3, 4, 1, 1, 1], ""arch_id"": 6873, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|skip_connect~0|skip_connect~1|skip_connect~2|""}"
32,72.42,32.2471576952118,0,inf,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
