method,context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
skyline,14,edgetpu,ImageNet16-120,47.31111,0,0.35810986,0,0.8014619244,0,0,0,0,0,0.18094188,0.02333888951
skyline,15,eyeriss,ImageNet16-120,47.31111,0,0.42304,0,0.7675333032,0,0,0,0,0,0.17980654,0.02265330699
skyline,16,fpga,ImageNet16-120,47.31111,0,0.28432,0,0.7460456323,0,0,0,0,0,0.17517181,0.02057816168
skyline,17,pixel3,ImageNet16-120,47.31111,0,0.00528942,0,0.8602479087,0,0,0,0,0,0.17954635,0.01609158737
skyline,18,raspi4,ImageNet16-120,47.31111,0,0.0115138,0,0.7962630336,0,0,0,0,0,0.18414827,0.03029567414
mowso,1,edgegpu,cifar10,93.640333,0.2422687218,0.906218056,0.7148848891,0.7828151747,0.07115554243,0.9121220441,0.3619366266,0,0,0.01343372003,0.002900093357
mowso,2,edgetpu,cifar10,93.8996666,0.2900433806,0.468231025,0.1829373009,0.8053255654,0.07245627019,0.2585011521,0.1461949195,0,0,0.01499889999,0.003015932015
mowso,3,eyeriss,cifar10,93.720167,0.1960480057,1.900724,0.2041435881,0.9453718466,0.02832387909,0.3418287965,0.1280998479,0,0,0.01379410999,0.001737540016
mowso,4,fpga,cifar10,93.727001,0.3000039841,1.66544,0.3199078267,0.7821252838,0.06031721246,0.5054189997,0.1977405294,0,0,0.01417554999,0.00233839722
mowso,5,pixel3,cifar10,93.7618334,0.4276690127,0.69914447,1.051506869,0.9141550228,0.01743004021,0.781833,0.2904333755,0,0,0.01588301,0.002731535247
mowso,6,raspi4,cifar10,93.7885,0.4294811327,3.25970058,3.464309385,0.9029289093,0.02668948974,1.17262603,0.4720470893,0,0,0.01676464,0.001774856766
mowso,7,edgegpu,cifar100,70.7866674,0.7293467214,0.68310689,0.3511760266,0.7812064112,0.04146541413,0.8338053104,0.20397951,0,0,0.01183354999,0.002461397311
mowso,8,edgetpu,cifar100,71.5619996,0.9472304546,0.423585321,0.140614397,0.6549023137,0.08039516559,0.3385076128,0.1418216156,0,0,0.01396394001,0.001965829219
mowso,9,eyeriss,cifar100,71.6109994,0.7990604426,1.952896,0.4320066559,0.8968533986,0.06211544999,0.77137766,0.311256257,0,0,0.01394902001,0.003505793947
mowso,10,fpga,cifar100,71.59,0.85666069,1.55312,0.1858979677,0.7849114564,0.02146899947,0.6163157714,0.2141599859,0,0,0.01449009998,0.002036294109
mowso,11,pixel3,cifar100,71.569667,1.174314403,0.652398963,1.328661307,0.8877714707,0.01825495284,1.451988108,0.4909437196,0,0,0.01596623001,0.002256324683
mowso,12,raspi4,cifar100,70.574667,0.8690371142,3.149298602,3.567615535,0.8688161796,0.03073294323,1.591957907,0.8107691947,0,0,0.01506867,0.002056463585
mowso,13,edgegpu,ImageNet16-120,44.6083331,1.268977293,0.679770477,0.3578386725,0.7299400897,0.04228111028,0.9551661235,0.2679248358,0,0,0.01364597001,0.002392835541
mowso,14,edgetpu,ImageNet16-120,45.0083332,0.6246048017,0.382485397,0.02735110521,0.7315491847,0.03483384133,0.1970795368,0.1238638682,0,0,0.01321995003,0.001565231441
mowso,15,eyeriss,ImageNet16-120,45.4305554,1.016752009,0.441472,0.02815534507,0.7897608047,0.02122375152,0.5330563803,0.2307665468,0,0,0.01586058999,0.005286567274
mowso,16,fpga,ImageNet16-120,44.9166666,0.624385689,0.37648,0.07168,0.7408547291,0.03892523197,0.3160454833,0.1328977154,0,0,0.01510557001,0.00380257089
mowso,17,pixel3,ImageNet16-120,44.8599995,0.8259110084,0.007627242,0.003295239985,0.8659620257,0.01848919562,0.4645410269,0.2164664993,0,0,0.01686235999,0.003778147289
mowso,18,raspi4,ImageNet16-120,45.5233333,0.7548109019,0.015640898,0.00814148087,0.8248950888,0.02157409887,0.7288053803,0.4246720892,0,0,0.01544167999,0.002989884837
mosho,1,edgegpu,cifar10,93.9285,0.2250561041,0.584877491,0.05788890424,0.8254628084,0.03775429481,0.3274668335,0.1228782861,0,0,0.004164690012,0.0005234353816
mosho,2,edgetpu,cifar10,93.7831664,0.2196899697,0.392557997,0.06304205083,0.7931253819,0.04488592498,0.1151927786,0.05886363412,0,0,0.003567699995,0.0002998376712
mosho,3,eyeriss,cifar10,93.6823334,0.3052953661,1.80242,0.1648608198,0.9545313111,0.02207546621,0.5222348853,0.2269182805,0,0,0.003801939997,0.0005811183194
mosho,4,fpga,cifar10,93.7501665,0.2299450878,1.43024,0.2690454118,0.836396285,0.0433706623,0.3952784792,0.1732918632,0,0,0.004781559971,0.001143085372
mosho,5,pixel3,cifar10,93.7493325,0.2662545795,0.276059308,0.5143951365,0.9386192492,0.01006718489,0.5976581952,0.1858844918,0,0,0.003989729984,0.0005618060884
mosho,6,raspi4,cifar10,93.693667,0.3061741984,1.087673236,1.669460618,0.9301694517,0.01326474673,0.7680393612,0.3183047287,0,0,0.005070019991,0.00104507261
mosho,7,edgegpu,cifar100,72.2113333,0.879202506,0.897695526,0.5231856872,0.7845066286,0.02496918241,0.7311982711,0.3123036481,0,0,0.004632590036,0.001121516932
mosho,8,edgetpu,cifar100,71.752667,0.7467828305,0.394268944,0.0523023087,0.7640936117,0.04538216876,0.2831299961,0.1471815672,0,0,0.003789849975,0.0004878612639
mosho,9,eyeriss,cifar100,72.161333,0.7376455554,1.92832,0.2198144265,0.6931466918,0.0311152555,0.669472406,0.1416846082,0,0,0.003933279996,0.0007796508732
mosho,10,fpga,cifar100,71.4869994,0.8059097829,1.27696,0.2216470708,0.7385942302,0.02802434144,0.5789765688,0.1622586662,0,0,0.004153950023,0.0006160752796
mosho,11,pixel3,cifar100,71.6653324,0.9530012299,0.65498074,0.6847035323,0.8926699414,0.02179379005,1.1965965,0.4488074259,0,0,0.004885029979,0.000726863294
mosho,12,raspi4,cifar100,71.3433342,0.863899641,0.325707704,0.8307169388,0.8824395755,0.02045338959,1.197105699,0.4517161617,0,0,0.004630010005,0.000565834874
mosho,13,edgegpu,ImageNet16-120,45.473889,0.9419579548,0.908509733,0.6581459607,0.7469233891,0.0447702085,0.7217837868,0.3014264675,0,0,0.004504889983,0.0007201104672
mosho,14,edgetpu,ImageNet16-120,45.8944443,0.4507128961,0.398883266,0.03620688867,0.8449948614,0.04459863342,0.1348945375,0.04235144879,0,0,0.003936160007,0.0007302454913
mosho,15,eyeriss,ImageNet16-120,45.1911111,0.7845707787,0.502912,0.1199260956,0.8187891542,0.06480422454,0.3958104812,0.1837119207,0,0,0.003409910004,0.0001989433969
mosho,16,fpga,ImageNet16-120,45.686667,0.6457997943,0.3544,0.09454307801,0.8218721904,0.0426409803,0.2869437178,0.1103004732,0,0,0.004585370014,0.0007147427391
mosho,17,pixel3,ImageNet16-120,44.997222,0.7538753571,0.052823298,0.1322795489,0.8380334399,0.01421410643,0.4745646828,0.1449001148,0,0,0.00497071998,0.0007185840913
mosho,18,raspi4,ImageNet16-120,45.7583327,0.6713324362,0.459259238,0.5680015001,0.8125967591,0.01373469236,0.5488817846,0.1095010779,0,0,0.004969919974,0.0008809369806
abc_firefly,1,edgegpu,cifar10,93.8078335,0.2071066088,0.963758457,0.6897740487,0.7679712379,0.07779570202,0.6306121413,0.1710523511,0,0,0.00251981999,0.0005471573159
abc_firefly,2,edgetpu,cifar10,93.7940006,0.299763441,0.430724565,0.08485904467,0.8955639638,0.0386756634,0.265450783,0.1057667425,0,0,0.002175680001,0.0005617546453
abc_firefly,3,eyeriss,cifar10,94.0026665,0.2619015651,1.851572,0.1573631813,0.9384815761,0.05361072986,0.5701109931,0.2135755563,0,0,0.002170000004,0.0003280714574
abc_firefly,4,fpga,cifar10,94.0511665,0.2232535886,1.31792,0.2289769386,0.8878897726,0.04087218741,0.3821200704,0.0959933163,0,0,0.002674759994,0.0004136179231
abc_firefly,5,pixel3,cifar10,93.882668,0.3142376341,1.202668968,1.336209223,0.8726528817,0.03125387075,0.6899242902,0.2330482813,0,0,0.002801090002,0.0004770421525
abc_firefly,6,raspi4,cifar10,93.8270005,0.3015792999,1.173223904,1.741945897,0.9318870638,0.0172085014,1.041166499,0.3212723361,0,0,0.002728659997,0.0003051738298
abc_firefly,7,edgegpu,cifar100,71.4746666,0.9248268639,0.951930043,0.6922399687,0.7821040124,0.04702056115,0.7917064266,0.2946669003,0,0,0.002450090018,0.0005882089603
abc_firefly,8,edgetpu,cifar100,72.024667,1.061022445,0.398797217,0.05658584291,0.6960850147,0.04401229155,0.3593678995,0.2435134669,0,0,0.001971579995,0.0002329182457
abc_firefly,9,eyeriss,cifar100,71.62,1.031852703,2.002048,0.4263776643,0.9030857764,0.05214306233,0.8496745202,0.3236151279,0,0,0.002137879981,0.0004412189293
abc_firefly,10,fpga,cifar100,71.5650006,1.217835282,1.35888,0.2931423572,0.8742460828,0.03414651648,0.7499869794,0.334087905,0,0,0.002630529995,0.0004437208733
abc_firefly,11,pixel3,cifar100,71.368667,0.8846053526,0.920094252,0.9751033025,0.8882648867,0.01425969533,1.135145629,0.2438686851,0,0,0.002860219998,0.0008334986164
abc_firefly,12,raspi4,cifar100,71.4499994,0.8563960986,1.667363326,1.753939613,0.9027532665,0.009518259436,1.403360311,0.3185043246,0,0,0.002620150021,0.0004869278152
abc_firefly,13,edgegpu,ImageNet16-120,45.3338887,1.047573786,1.268451692,0.897081831,0.7127743406,0.04871275002,0.8276782131,0.3210682787,0,0,0.00238702005,0.0005417305107
abc_firefly,14,edgetpu,ImageNet16-120,45.7044446,0.870800981,0.433041682,0.04008047982,0.6883218073,0.04268125886,0.219475377,0.1735198671,0,0,0.002119799971,0.0006290656794
abc_firefly,15,eyeriss,ImageNet16-120,44.9433331,1.001214525,0.502912,0.04798617401,0.7733425162,0.02433915902,0.4891855292,0.2633677415,0,0,0.001969209977,0.0002535936388
abc_firefly,16,fpga,ImageNet16-120,45.1966665,0.8228682761,0.37936,0.07260615952,0.7670079665,0.03023648435,0.3751907789,0.1697810281,0,0,0.002583410009,0.0002945069067
abc_firefly,17,pixel3,ImageNet16-120,45.4444442,0.9876392645,0.196700491,0.3139085505,0.8276717079,0.01949847962,0.5729667471,0.2573745476,0,0,0.003002899978,0.0007188497651
abc_firefly,18,raspi4,ImageNet16-120,45.5799997,0.7989192204,0.394911942,0.5458358658,0.8332590487,0.01408555603,0.7624475255,0.3211787964,0,0,0.002953980002,0.00069070575
pso,1,edgegpu,cifar10,93.4181669,0.5826179712,2.41708279,1.909133315,0.547764297,0.1476558728,1.168350155,0.5428952201,0,0,0.01443815996,0.0005255183868
pso,2,edgetpu,cifar10,93.1633325,0.6848189923,0.603691517,0.252685055,0.7057134184,0.1433562333,0.5360349053,0.3449380995,0,0,0.01430321002,0.001215180418
pso,3,eyeriss,cifar10,93.2964995,0.7278084683,2.982068,1.355249977,0.5542797237,0.1053477082,1.004882123,0.5897047511,0,0,0.01480866,0.002146098741
pso,4,fpga,cifar10,92.948333,0.7456620079,2.30928,0.6541088056,0.6419941858,0.1553073849,0.9195887733,0.2838797774,0,0,0.01518844999,0.001323179085
pso,5,pixel3,cifar10,92.782833,0.6372012544,2.220339507,3.077116632,0.82347688,0.09029873075,2.117460347,1.508730187,0,0,0.01483243004,0.001110783537
pso,6,raspi4,cifar10,92.7178334,0.598119887,4.921442108,3.762219225,0.8735144459,0.04304979374,3.322539976,2.469795394,0,0,0.01496453,0.0008481174122
pso,7,edgegpu,cifar100,69.1476664,1.142846176,1.828104488,1.261712703,0.5836060454,0.1440738479,1.346687552,0.4289653399,0,0,0.01574100001,0.002577597128
pso,8,edgetpu,cifar100,70.5570005,1.438200832,0.575448338,0.2419157839,0.7415285703,0.06523683965,0.7422755301,0.5166164561,0,0,0.01422364,0.0007482678704
pso,9,eyeriss,cifar100,69.801333,1.599988397,2.591872,1.194150849,0.783344663,0.1599908543,1.354455414,0.3735425073,0,0,0.01522176,0.001610217595
pso,10,fpga,cifar100,69.7513331,2.229609103,2.26064,0.6759990722,0.5791370625,0.07100276251,1.321510893,1.038599984,0,0,0.01541971001,0.0008123494802
pso,11,pixel3,cifar100,70.1243334,0.7699435456,3.448120712,3.259760077,0.836751025,0.08775345518,2.149747721,1.352975296,0,0,0.01467012002,0.0006198423972
pso,12,raspi4,cifar100,70.542666,0.9914571315,11.61762532,7.868930501,0.7956530232,0.09074554993,5.072666493,3.428281641,0,0,0.01509568002,0.001165664305
pso,13,edgegpu,ImageNet16-120,42.6533333,2.374976663,1.791521539,1.537571164,0.6107177113,0.08406211612,1.897363495,0.7383863361,0,0,0.01574421002,0.001358392871
pso,14,edgetpu,ImageNet16-120,43.7699998,1.598850314,0.47440189,0.1253893047,0.7844265415,0.06463575777,0.6189710061,0.5710705374,0,0,0.01420725002,0.0006582258234
pso,15,eyeriss,ImageNet16-120,42.5566665,0.9007188595,0.558208,0.2052500655,0.785762111,0.1139251881,0.5901088302,0.3303550261,0,0,0.01471111999,0.001381961586
pso,16,fpga,ImageNet16-120,43.2222218,3.158284158,0.574656,0.192657849,0.6460875861,0.08370194199,1.219697709,1.798921359,0,0,0.01491768999,0.0005943761113
pso,17,pixel3,ImageNet16-120,44.8588885,0.9931746542,1.3828595,0.9468113522,0.6604482585,0.0959178505,1.137484288,0.2929378279,0,0,0.01545885003,0.002132869683
pso,18,raspi4,ImageNet16-120,43.6994442,2.057840119,2.408373502,1.735281772,0.644291649,0.09794199866,2.245119356,0.9644707319,0,0,0.01480901999,0.0009968305312
abc,1,edgegpu,cifar10,93.56,0.2866160459,2.26201246,0.8127290043,0.6814339056,0.1043989296,0.7676906459,0.3956390373,0,0,0.01858879997,0.005269690665
abc,2,edgetpu,cifar10,93.645,0.3129936102,0.428455835,0.06616570783,0.7564330897,0.04252723145,0.2117460268,0.08802807371,0,0,0.01946217,0.001098125637
abc,3,eyeriss,cifar10,93.6309999,0.2471988799,2.613428,0.589824,0.6282734181,0.06609237635,0.5554098205,0.2160240107,0,0,0.01981674001,0.00116800995
abc,4,fpga,cifar10,93.6454999,0.1170898458,2.15312,0.3672780396,0.6929669846,0.05914014744,0.455380501,0.1393894044,0,0,0.02062395001,0.001085755297
abc,5,pixel3,cifar10,92.9436666,0.4102203111,2.099066,0.5918859584,0.8338574459,0.01754561518,0.8066084908,0.1288019537,0,0,0.02255649999,0.007825850465
